รหัสสถานี,ชื่อผู้ได้รับใบอนุญาต,ชื่อสถานี,ความถี่,ประเภทบริการ/กิจการ,สถานะใบอนุญาต ปี 2567 (eBcs),อำเภอ,จังหวัด,ละติจูด,ลองจิจูด,ตรวจสอบมาตรฐาน 2566 ,ตรวจสอบมาตรฐาน 2567 ,ตรวจการแพร่แปลกปลอม ,ยื่นคำขอ 10/1/68   ,หมายเหตุ
05520186,ห้างหุ้นส่วนจำกัด นันทวัฒน์ เรดิโอ,นันทวัฒน์ เรดิโอ,100.0,บริการธุรกิจ,ได้รับอนุญาต,ประทาย,นครราชสีมา,15.539341,102.717839,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-23 00:00:00,
05520017,บริษัท เอพลัส นครราชสีมา จำกัด,เกษตรสามัคคี MIX FM,100.0,บริการธุรกิจ,ยกเลิก,เมืองนครราชสีมา,นครราชสีมา,14.968872,102.10667,ตรงตามมาตรฐาน,,,,ตามมติ กสทช. 1/2567 ลว 10 ม.ค. 2567
05520145,ห้างหุ้นส่วนจำกัด เกษตรสินสีมา,เบญจรงค์ นครราชสีมา,100.25,บริการธุรกิจ,ได้รับอนุญาต,เมืองนครราชสีมา,นครราชสีมา,15.06146,102.103646,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,-,
05540089,ห้างหุ้นส่วนจำกัด สถานีวิทยุมรดกอีสาน,รักษ์หมอลำ วัฒนธรรมอิสาน,100.5,บริการธุรกิจ,ได้รับอนุญาต,แก้งสนามนาง,นครราชสีมา,15.728541,102.285967,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-24 00:00:00,
05520051,บริษัท เอส.เอส.พี. มีเดีย กรุ๊ป จำกัด,คนโพธิ์กลาง,100.5,บริการธุรกิจ,ได้รับอนุญาต,เมืองนครราชสีมา,นครราชสีมา,14.934073,102.051986,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-20 00:00:00,
05520015,ห้างหุ้นส่วนจำกัด สมัชชาเรดิโอ 10075,LUCKY RADIO,100.75,บริการธุรกิจ,ได้รับอนุญาต,เมืองนครราชสีมา,นครราชสีมา,14.966332,102.114865,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,-,
05520196,บริษัท วัน ดัน ฟัน จำกัด,เพื่อประชาชนปากช่อง,101.0,บริการธุรกิจ,ได้รับอนุญาต,ปากช่อง,นครราชสีมา,14.71428,101.425944,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,-,
05520098,ห้างหุ้นส่วนจำกัด ซี แอนด์ ซี บรอดคาสท,ฅนนครโคราช,101.0,บริการธุรกิจ,ได้รับอนุญาต,เมืองนครราชสีมา,นครราชสีมา,14.92391,102.110737,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-12-24 00:00:00,
05520023,ห้างหุ้นส่วนจำกัด พีรเวช,เสิงสางสัมพันธ์,101.25,บริการธุรกิจ,ได้รับอนุญาต,เสิงสาง,นครราชสีมา,14.432746,102.474094,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-30 00:00:00,
05520094,ห้างหุ้นส่วนจำกัด กษิดิศประทาย,ประทายเรดิโอ,101.25,บริการธุรกิจ,ได้รับอนุญาต,ประทาย,นครราชสีมา,15.529488,102.719939,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-30 00:00:00,
05520198,ห้างหุ้นส่วนจำกัด เสียงทองของดาริน,เพื่อมวลชน ฅนกระโทก,101.5,บริการธุรกิจ,ได้รับอนุญาต,โชคชัย,นครราชสีมา,14.741955,102.178624,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-09 00:00:00,
05520059,ห้างหุ้นส่วนจำกัด เอ็ม.ดี. โคราช กรุ๊ป,คนรักถิ่น Green,101.5,บริการธุรกิจ,ได้รับอนุญาต,สีคิ้ว,นครราชสีมา,14.882725,101.724263,,ตรงตามมาตรฐาน,ยังไม่ตรวจ,2567-12-27 00:00:00,
05520052,ห้างหุ้นส่วนจำกัด อมรรัตน์ ธุรกิจ,คนเมืองเขาใหญ่,101.5,บริการธุรกิจ,ได้รับอนุญาต,ปากช่อง,นครราชสีมา,14.708415,101.444837,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-12-13 00:00:00,
05520260,ห้างหุ้นส่วนจำกัด อิสาน พลาซ่า เรดิโอ,อิสาน พลาซ่า เรดิโอ,101.5,บริการธุรกิจ,ได้รับอนุญาต,แก้งสนามนาง,นครราชสีมา,15.600859,102.120481,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-12-07 00:00:00,
05520100,ห้างหุ้นส่วนจำกัด วิไลทัศนา,คนหรรษา,101.5,บริการธุรกิจ,ได้รับอนุญาต,เมืองนครราชสีมา,นครราชสีมา,14.956745,102.121734,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-12 00:00:00,
05520163,วัดมะค่า,วิทยุเพื่อการเผยแผ่พระพุทธศาสนา การศึกษา วัฒนธรรม การบันเทิง,101.75,บริการสาธารณะ,ได้รับอนุญาต,ปักธงชัย,นครราชสีมา,14.655358,102.068436,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-29 00:00:00,
05520188,ห้างหุ้นส่วนจำกัด เรดิโอโมดิฟาย,เรดิโอโมดิฟาย,101.75,บริการธุรกิจ,ได้รับอนุญาต,ด่านขุนทด,นครราชสีมา,15.203262,101.774895,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-12-16 00:00:00,
05520193,ห้างหุ้นส่วนจำกัด เพื่อคนเกษตร,เพื่อนเกษตรกร,102.25,บริการธุรกิจ,ได้รับอนุญาต,จักราช,นครราชสีมา,14.976896,102.406445,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-25 00:00:00,
05520231,ห้างหุ้นส่วนจำกัด วัลภา โปรโมชั่น,วันดีชาแนล,102.25,บริการธุรกิจ,ได้รับอนุญาต,โนนไทย,นครราชสีมา,15.217647,102.058711,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-23 00:00:00,
05520045,ห้างหุ้นส่วนจำกัด วิจิตรศิลป ปักธงชัย,คนปักธงชัย,102.25,บริการธุรกิจ,ได้รับอนุญาต,ปักธงชัย,นครราชสีมา,14.729488,102.02541,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-03 00:00:00,
05520174,ห้างหุ้นส่วนจำกัด สุขสนั่นไฟฟ้าสื่อสาร,กรีนเรดิโอ,102.25,บริการธุรกิจ,ยกเลิก,สีคิ้ว,นครราชสีมา,14.872197,101.69143,,,,,ตามมติ กสทช. 16/2567 ลว 31 ก.ค. 2567
05520115,ห้างหุ้นส่วนจำกัด ไกโกพารวย,ดินแดนหลวงพ่อคูณ,102.5,บริการธุรกิจ,ได้รับอนุญาต,ด่านขุนทด,นครราชสีมา,15.207873,101.76424,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-17 00:00:00,
05520104,มหาวิทยาลัยวงษ์ชวลิตกุล,วิทยุร่วมใจหมื่นไวยพัฒนา,102.5,บริการสาธารณะ,ได้รับอนุญาต,เมืองนครราชสีมา,นครราชสีมา,14.997876,102.10588,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-11-15 00:00:00,
05550020,ห้างหุ้นส่วนจำกัด มัลลิดา 102,คนทับสวายพัฒนา,102.75,บริการธุรกิจ,ได้รับอนุญาต,ห้วยแถลง,นครราชสีมา,15.007553,102.621843,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-26 00:00:00,
05520049,กลุ่มคนพระทองคำ,ชุมชนคนพระทองคำ,103.0,บริการชุมชน,ยกเลิก,พระทองคำ,นครราชสีมา,15.33405,101.970856,,,,,ยกเลิกการประกอบกิจการ มติ 9/2566 19 เม.ย. 2566
